Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight,Cluster
5,39,296,5999.0,0,1,174,0
11,27,249,3880.0,0,1,190,0
4,11,125,2930.0,0,1,116,0
2,53,510,8690.0,0,1,123,0
2,15,125,3099.0,0,1,172,0
1,9,125,1899.0,0,1,100,0
9,6,49,1730.91,0,1,90,0
4,11,198,1802.44,0,1,112,0
8,11,124,3004.46,0,1,140,0
1,15,125,3099.0,0,1,172,0
1,9,49,1995.0,0,1,78,0
6,15,123,1987.87,0,1,98,0
3,5,49,1435.0,0,1,97,0
3,4,49,1749.0,0,1,95,0
14,7,49,2299.0,0,1,91,0
8,10,125,1999.0,0,1,109,0
6,60,647,11250.0,0,1,231,0
5,98,600,7699.0,0,1,187,0
4,12,948,9299.0,0,1,210,0
1,109,1170,12990.0,0,1,223,0
2,9,124,1929.0,0,1,119,0
10,6,49,1490.0,0,1,87,0
7,5,49,2518.24,0,1,90,0
9,77,803,9695.0,0,1,173,0
1,23,250,3399.0,0,1,146,0
1,12,124,3799.0,0,1,130,0
3,9,125,1290.0,0,1,104,0
3,44,499,9799.0,0,1,225,0
1,14,124,3200.0,0,1,162,0
2,44,499,11599.0,0,1,225,0
9,125,1170,18950.0,0,1,260,0
3,48,883,9642.0,0,1,245,0
4,36,399,6099.0,0,1,209,0
9,5,49,1499.0,0,1,58,0
4,6,49,1899.0,0,1,80,0
9,6,49,1501.93,0,1,90,0
2,14,124,3349.0,0,1,182,0
4,10,125,1899.0,0,1,140,0
1,9,49,2659.0,0,1,75,0
6,4,49,1199.0,0,1,85,0
9,4,49,2034.0,0,1,101,0
5,9,124,9000.0,0,1,110,0
2,20,250,5499.0,0,1,165,0
4,9,123,1987.87,0,1,98,0
6,21,74,1261.82,0,1,87,0
8,11,124,3354.0,0,1,115,0
3,8,125,1599.0,0,1,102,0
5,6,74,1556.62,0,1,87,0
12,4,49,1088.7,0,1,60,0
4,6,49,1299.0,0,1,55,0
4,106,779,9149.0,0,1,211,0
5,5,49,1795.0,0,1,90,0
6,34,486,4799.0,0,1,196,0
5,6,49,1682.23,0,1,95,0
7,6,49,1412.38,0,1,87,0
1,120,599,9999.0,0,1,160,0
2,8,125,3500.0,0,1,154,0
11,5,49,1749.0,0,1,100,0
1,10,125,3399.0,0,1,102,0
13,4,50,1299.0,0,1,92,0
24,15,124,3020.0,0,1,162,0
14,92,749,8099.0,0,1,200,0
4,12,125,2899.0,0,1,130,0
2,11,680,12699.0,0,1,186,0
3,15,124,5399.0,0,1,149,0
6,120,599,9321.1,0,1,169,0
2,7,107,1399.0,0,1,100,0
2,10,124,3500.0,0,1,153,0
2,50,883,9365.0,0,1,235,0
28,20,505,8700.91,3,1,350,0
1,11,198,2300.0,0,1,108,0
5,5,49,1196.01,0,1,66,0
1,5,49,2037.43,0,1,72,0
15,4,49,1899.0,0,1,78,0
2,11,198,2116.51,0,1,96,0
17,5,49,1589.0,0,1,86,0
3,18,200,3999.0,0,1,149,0
7,15,124,2769.0,0,1,150,0
13,4,49,1401.0,0,1,97,0
1,39,125,2866.0,0,1,120,0
13,10,124,1649.0,0,1,109,0
2,12,125,3160.0,0,1,149,0
2,9,49,3299.0,0,1,114,0
2,37,498,4525.0,0,1,230,0
13,11,125,2099.0,0,1,97,0
2,19,249,4199.0,0,1,223,0
7,6,49,1802.44,0,1,90,0
5,31,707,25000.0,0,2,650,0
1,9,125,1600.0,0,1,105,0
3,77,599,7099.0,0,1,197,0
3,12,125,2669.0,0,1,124,0
6,4,49,1035.0,0,1,80,0
2,5,49,1824.0,0,1,90,0
1,8,125,2695.0,0,1,140,0
