Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight
4,80,599,7068.0,0,1,190
15,85,1229,16030.0,5,1,1105
3,6,74,1261.82,0,1,87
3,6,244,3000.0,0,1,92
13,87,1598,9927.0,4,1,1055
3,109,1396,16550.0,5,1,1168
18,130,1984,27330.0,4,1,1310
6,65,1870,13140.0,5,2,1125
6,65,1560,24850.0,5,2,1530
6,65,1686,21600.0,5,2,1525
3,70,1248,13780.0,4,2,1295
3,75,1390,8548.0,4,1,1050
4,90,1396,19390.0,5,2,1355
4,100,1396,16190.0,5,1,1110
19,103,1596,15205.61,3,1,1145
10,110,1590,17000.0,3,1,1154
20,140,2204,26400.0,4,2,1400
1,136,1998,22400.0,5,1,1400
2,110,1968,20720.0,5,2,1266
3,115,2820,19340.57,5,2,1995
5,100,1896,15571.0,5,2,1165
2,90,1598,19550.0,5,2,1365
1,115,2799,24063.94,2,2,2223
1,75,1248,13950.0,3,2,1130
2,71,999,14450.0,2,1,780
1,109,2148,33036.8,5,2,1795
4,116,1995,18700.0,5,2,1290
4,110,1686,21465.0,5,2,1428
3,110,1995,19390.0,5,2,1340
3,110,1910,16400.0,5,2,1305
4,100,1991,18400.0,5,1,1427
2,75,1199,13220.0,3,1,935
2,75,2199,33400.0,3,1,1653
3,60,1124,8732.71,3,1,890
9,115,1596,23900.0,5,1,1245
9,78,2476,14153.84,4,2,1425
7,75,1248,17971.0,4,2,1115
7,90,1781,11449.28,3,1,1020
8,84,1598,14896.95,5,1,1120
12,115,2188,19532.89,5,2,1475
2,136,1997,23450.0,5,2,1431
1,150,1997,47527.49,5,2,2070
1,150,3996,69000.0,5,2,2260
2,65,1461,12600.0,5,2,980
3,75,1199,12040.0,5,1,960
12,95,1794,16167.23,5,1,1225
12,95,2499,40220.0,5,1,1892
1,4,49,1949.0,0,1,73
5,77,599,6599.0,0,1,197
4,82,1199,13910.0,5,1,1035
3,75,1997,20878.68,4,2,1180
4,72,1150,10515.0,5,1,990
3,105,1896,21090.0,5,2,1287
2,160,2230,25370.0,4,1,1480
1,64,2953,24875.94,3,2,2000
4,65,1870,12230.0,5,2,995
4,100,1596,12561.15,5,1,1077
3,110,1997,23285.0,5,2,1385
3,75,1199,11010.0,5,1,960
9,90,1587,11689.69,3,1,920
9,90,1461,22900.0,3,1,1398
9,90,1590,18000.0,3,1,1167
9,90,1587,19460.0,3,1,1204
9,90,1590,16100.0,3,1,1149
2,109,2982,27282.41,2,2,2015
4,68,1700,13132.11,5,2,1095
4,68,1753,23535.0,5,2,1471
4,90,1587,14043.67,5,1,1078
3,90,1997,17205.0,5,2,1200
3,90,1599,18250.0,5,2,1233
3,10,125,1999.0,0,1,128
4,121,1991,17200.0,4,2,1285
4,86,1905,14454.34,2,2,1080
4,86,2953,20225.79,2,2,1802
5,55,999,7800.0,5,1,830
3,75,1360,11910.0,5,1,950
8,90,1896,15995.0,5,2,1266
2,130,1956,24400.0,5,2,1538
3,58,1527,10649.93,5,2,910
1,6,49,1490.0,0,1,87
7,75,1360,13269.0,4,1,1125
3,90,1560,21005.0,5,2,1290
1,95,1390,13733.13,2,1,1045
1,120,1560,29770.01,5,2,1420
2,109,1991,27625.0,5,2,1360
20,90,1896,17270.0,5,2,1232
2,90,1998,22375.68,4,2,1280
3,72,1150,10165.0,3,1,990
1,80,1390,11389.18,5,1,965
1,80,1598,19100.0,5,1,1195
7,60,1769,9818.43,4,2,945
7,60,1999,44010.5,4,2,1563
6,110,1997,22780.0,5,2,1512
1,90,1560,16645.0,5,2,1096
3,90,1905,18418.14,5,2,1435
4,88,2148,21796.4,5,2,1770
7,115,1753,18705.0,3,2,1388
1,11,125,2099.0,0,1,97
2,62,1063,8999.0,0,1,275
4,90,1398,14067.0,5,2,947
1,100,2663,23138.97,5,2,1850
6,110,1998,14123.78,5,1,1224
7,140,1997,29700.0,5,2,1539
4,90,1364,18550.0,5,2,960
7,60,1390,11791.86,5,1,1075
5,95,1560,20270.0,5,2,1614
5,95,1399,11890.0,5,2,1047
17,70,1198,15224.99,5,1,997
2,90,1997,17920.0,3,2,1243
2,136,1560,20700.86,5,2,1090
11,45,993,6012.53,3,1,760
13,63,1324,8550.54,3,1,970
5,115,1753,21090.0,5,2,1427
2,224,2987,60800.0,5,2,2110
2,75,1422,16270.0,5,2,1135
15,105,1896,19300.0,5,2,1310
2,109,1991,22700.0,5,2,1345
4,78,1498,7799.1,3,1,1007
4,78,1299,8324.02,3,1,880
4,85,1390,15365.0,5,1,995
4,85,1368,16800.0,5,1,1245
2,86,2953,15817.44,5,2,1820
1,115,1998,22060.0,5,2,1551
2,100,1870,23850.0,5,2,1773
5,92,1905,16305.46,5,2,1405
5,92,899,5398.68,5,2,680
10,125,2172,25212.46,4,2,1480
3,150,1781,31250.0,4,1,1390
7,58,1527,10719.0,3,2,890
1,90,1396,11359.13,5,1,1185
3,90,898,10730.0,5,1,1023
5,109,1997,20553.2,5,2,1520
6,92,992,11195.0,0,1,183
1,14,152,3465.0,0,1,149
2,76,2496,16654.05,5,2,1787
1,110,1686,21465.0,5,2,1428
