Seniority,Power,Cylinder_capacity,Value_vehicle,N_doors,Type_fuel,Weight,Cluster
4,80,599,7068.0,0,1,190,0
15,85,1229,16030.0,5,1,1105,2
3,6,74,1261.82,0,1,87,0
3,6,244,3000.0,0,1,92,0
13,87,1598,9927.0,4,1,1055,2
3,109,1396,16550.0,5,1,1168,2
18,130,1984,27330.0,4,1,1310,1
6,65,1870,13140.0,5,2,1125,2
6,65,1560,24850.0,5,2,1530,2
6,65,1686,21600.0,5,2,1525,2
3,70,1248,13780.0,4,2,1295,2
3,75,1390,8548.0,4,1,1050,2
4,90,1396,19390.0,5,2,1355,2
4,100,1396,16190.0,5,1,1110,2
19,103,1596,15205.61,3,1,1145,2
10,110,1590,17000.0,3,1,1154,2
20,140,2204,26400.0,4,2,1400,1
1,136,1998,22400.0,5,1,1400,1
2,110,1968,20720.0,5,2,1266,2
3,115,2820,19340.57,5,2,1995,1
5,100,1896,15571.0,5,2,1165,2
2,90,1598,19550.0,5,2,1365,2
1,115,2799,24063.94,2,2,2223,1
1,75,1248,13950.0,3,2,1130,2
2,71,999,14450.0,2,1,780,2
1,109,2148,33036.8,5,2,1795,1
4,116,1995,18700.0,5,2,1290,2
4,110,1686,21465.0,5,2,1428,2
3,110,1995,19390.0,5,2,1340,2
3,110,1910,16400.0,5,2,1305,2
4,100,1991,18400.0,5,1,1427,2
2,75,1199,13220.0,3,1,935,2
2,75,2199,33400.0,3,1,1653,1
3,60,1124,8732.71,3,1,890,2
9,115,1596,23900.0,5,1,1245,2
9,78,2476,14153.84,4,2,1425,2
7,75,1248,17971.0,4,2,1115,2
7,90,1781,11449.28,3,1,1020,2
8,84,1598,14896.95,5,1,1120,2
12,115,2188,19532.89,5,2,1475,1
2,136,1997,23450.0,5,2,1431,1
1,150,1997,47527.49,5,2,2070,1
1,150,3996,69000.0,5,2,2260,1
2,65,1461,12600.0,5,2,980,2
3,75,1199,12040.0,5,1,960,2
12,95,1794,16167.23,5,1,1225,2
12,95,2499,40220.0,5,1,1892,1
1,4,49,1949.0,0,1,73,0
5,77,599,6599.0,0,1,197,0
4,82,1199,13910.0,5,1,1035,2
3,75,1997,20878.68,4,2,1180,2
4,72,1150,10515.0,5,1,990,2
3,105,1896,21090.0,5,2,1287,2
2,160,2230,25370.0,4,1,1480,1
1,64,2953,24875.94,3,2,2000,1
4,65,1870,12230.0,5,2,995,2
4,100,1596,12561.15,5,1,1077,2
3,110,1997,23285.0,5,2,1385,1
3,75,1199,11010.0,5,1,960,2
9,90,1587,11689.69,3,1,920,2
9,90,1461,22900.0,3,1,1398,2
9,90,1590,18000.0,3,1,1167,2
9,90,1587,19460.0,3,1,1204,2
9,90,1590,16100.0,3,1,1149,2
2,109,2982,27282.41,2,2,2015,1
4,68,1700,13132.11,5,2,1095,2
4,68,1753,23535.0,5,2,1471,2
4,90,1587,14043.67,5,1,1078,2
3,90,1997,17205.0,5,2,1200,2
3,90,1599,18250.0,5,2,1233,2
3,10,125,1999.0,0,1,128,0
4,121,1991,17200.0,4,2,1285,2
4,86,1905,14454.34,2,2,1080,2
4,86,2953,20225.79,2,2,1802,1
5,55,999,7800.0,5,1,830,2
3,75,1360,11910.0,5,1,950,2
8,90,1896,15995.0,5,2,1266,2
2,130,1956,24400.0,5,2,1538,1
3,58,1527,10649.93,5,2,910,2
1,6,49,1490.0,0,1,87,0
7,75,1360,13269.0,4,1,1125,2
3,90,1560,21005.0,5,2,1290,2
1,95,1390,13733.13,2,1,1045,2
1,120,1560,29770.01,5,2,1420,1
2,109,1991,27625.0,5,2,1360,1
20,90,1896,17270.0,5,2,1232,2
2,90,1998,22375.68,4,2,1280,2
3,72,1150,10165.0,3,1,990,2
1,80,1390,11389.18,5,1,965,2
1,80,1598,19100.0,5,1,1195,2
7,60,1769,9818.43,4,2,945,2
7,60,1999,44010.5,4,2,1563,1
6,110,1997,22780.0,5,2,1512,1
1,90,1560,16645.0,5,2,1096,2
3,90,1905,18418.14,5,2,1435,2
4,88,2148,21796.4,5,2,1770,1
7,115,1753,18705.0,3,2,1388,2
1,11,125,2099.0,0,1,97,0
2,62,1063,8999.0,0,1,275,0
4,90,1398,14067.0,5,2,947,2
1,100,2663,23138.97,5,2,1850,1
6,110,1998,14123.78,5,1,1224,2
7,140,1997,29700.0,5,2,1539,1
4,90,1364,18550.0,5,2,960,2
7,60,1390,11791.86,5,1,1075,2
5,95,1560,20270.0,5,2,1614,2
5,95,1399,11890.0,5,2,1047,2
17,70,1198,15224.99,5,1,997,2
2,90,1997,17920.0,3,2,1243,2
2,136,1560,20700.86,5,2,1090,2
11,45,993,6012.53,3,1,760,2
